species,decimalLatitude,decimalLongitude
Anthracoceros malayanus,5.468624,118.187744
Aceros corrugatus,5.401473,116.09889
Anorrhinus galeritus,3.409241,101.84481
Berenicornis comatus,5.508605,118.282265
Anthracoceros malayanus,5.876139,117.944145
Anthracoceros malayanus,5.474088,118.203964
Anorrhinus galeritus,5.434373,117.74717
Anthracoceros malayanus,5.464946,118.25358
Anorrhinus galeritus,6.247586,100.81462
Berenicornis comatus,5.486222,118.27065
Buceros rhinoceros,4.398047,117.88837
Anthracoceros malayanus,5.508605,118.282265
Rhyticeros undulatus,4.090731,115.59581
Anthracoceros malayanus,5.876139,117.944145
Anthracoceros malayanus,5.876139,117.944145
Rhyticeros undulatus,5.029806,102.683876
Anthracoceros albirostris,4.962297,117.80357
Anorrhinus galeritus,5.0198,117.7462
Buceros rhinoceros,5.53757,118.297104
Anorrhinus galeritus,5.0198,117.7462
Aceros corrugatus,5.50429,118.27074
Anthracoceros albirostris,1.878918,103.92119
Anthracoceros malayanus,5.579064,118.21768
Anorrhinus galeritus,5.498367,118.2786
Anthracoceros albirostris,3.149062,101.70998
Anthracoceros albirostris,2.848182,103.46089
Anthracoceros malayanus,2.340439,103.64299
Rhyticeros undulatus,4.436608,115.5152
Anthracoceros albirostris,5.53757,118.297104
Anthracoceros albirostris,5.47382,118.1995
Buceros rhinoceros,4.96853,117.81128
Anthracoceros albirostris,5.498367,118.2786
Anthracoceros malayanus,5.059091,100.723274
Anthracoceros malayanus,4.962297,117.80357
Rhyticeros subruficollis,5.60621,101.54252
Anthracoceros malayanus,5.876139,117.944145
Buceros rhinoceros,5.0198,117.7462
Anthracoceros albirostris,5.498123,118.28079
Buceros bicornis,3.716435,101.73666
Anthracoceros albirostris,2.527833,101.8145
Buceros rhinoceros,4.956893,117.80437
Aceros corrugatus,5.508605,118.282265
Berenicornis comatus,6.320417,100.481384
Rhyticeros undulatus,4.962297,117.80357
Rhyticeros undulatus,5.606378,101.54305
Buceros rhinoceros,5.817907,118.01536
Aceros corrugatus,5.498167,118.280914
Buceros rhinoceros,5.865728,117.95143
Anthracoceros albirostris,6.269167,99.731384
Anthracoceros malayanus,4.398047,117.88837
Berenicornis comatus,1.40044,110.32638
Aceros corrugatus,5.50429,118.27074
Anthracoceros albirostris,4.96853,117.81128
Anorrhinus galeritus,5.059091,100.723274
Aceros corrugatus,5.491432,118.20993
Buceros rhinoceros,5.53757,118.297104
Anthracoceros malayanus,5.865728,117.95143
Anthracoceros albirostris,6.176991,100.84162
Anthracoceros malayanus,5.876139,117.944145
Anthracoceros malayanus,2.506612,103.75643
Anthracoceros albirostris,6.423972,99.839806
Anthracoceros albirostris,3.349778,101.240746
Buceros bicornis,3.39881,101.7667
Buceros rhinoceros,5.876139,117.944145
Berenicornis comatus,4.386236,102.39974
Buceros rhinoceros,5.239341,118.71002
Buceros rhinoceros,5.498367,118.2786
Anorrhinus galeritus,6.247586,100.81462
Rhyticeros undulatus,3.693941,101.74834
Aceros corrugatus,5.474088,118.203964
Anorrhinus galeritus,5.530219,118.07522
Anorrhinus galeritus,5.239341,118.71002
Anthracoceros albirostris,5.239341,118.71002
Aceros corrugatus,4.962297,117.80357
Berenicornis comatus,6.320417,100.481384
Buceros rhinoceros,5.876139,117.944145
Anthracoceros albirostris,2.226668,102.152016
Buceros rhinoceros,5.50429,118.27074
Anthracoceros albirostris,4.678866,102.057495
Anthracoceros albirostris,4.2489,100.5541
Anthracoceros malayanus,3.103167,101.521835
Buceros rhinoceros,4.436608,115.5152
Buceros rhinoceros,4.96697,117.800385
Buceros rhinoceros,5.876139,117.944145
Buceros rhinoceros,5.53757,118.297104
Anthracoceros albirostris,4.585751,114.029205
Anthracoceros malayanus,6.115416,100.96371
Berenicornis comatus,5.239341,118.71002
Rhyticeros undulatus,2.381917,103.02001
Anthracoceros albirostris,5.477855,118.221375
Anthracoceros albirostris,5.508605,118.282265
Buceros rhinoceros,2.259611,103.7308
Anthracoceros albirostris,5.239341,118.71002
Rhyticeros subruficollis,6.247586,100.81462
Buceros rhinoceros,5.486863,118.271774
Buceros rhinoceros,4.397206,102.402176
Buceros rhinoceros,5.024302,102.621475
Buceros rhinoceros,5.0198,117.7462
Anthracoceros albirostris,5.50429,118.27074
Anthracoceros albirostris,5.468624,118.187744
Anthracoceros albirostris,5.491432,118.20993
Buceros rhinoceros,4.962297,117.80357
Buceros rhinoceros,4.471011,117.91626
Anthracoceros albirostris,6.383115,99.6741
Anthracoceros albirostris,3.103216,101.52174
Buceros rhinoceros,5.53757,118.297104
Rhyticeros undulatus,4.962297,117.80357
Anthracoceros albirostris,1.861087,103.892876
Anthracoceros albirostris,4.597192,113.97467
Buceros rhinoceros,5.0198,117.7462
Buceros rhinoceros,5.239341,118.71002
Rhyticeros undulatus,3.706877,101.73673
Rhyticeros undulatus,3.395876,101.78547
Anthracoceros albirostris,5.491432,118.20993
Buceros bicornis,3.41762,101.842125
Anthracoceros malayanus,5.508605,118.282265
Anthracoceros albirostris,5.497754,118.28029
Anthracoceros albirostris,5.434373,117.74717
Aceros corrugatus,5.0198,117.7462
Anorrhinus galeritus,5.0198,117.7462
Buceros rhinoceros,4.962297,117.80357
Anthracoceros albirostris,2.808462,103.4917
Anthracoceros albirostris,1.725807,103.91195
Rhyticeros undulatus,3.409241,101.84481
Anthracoceros albirostris,5.324843,115.67288
Anthracoceros albirostris,5.491432,118.20993
Buceros rhinoceros,4.679651,101.54876
Anthracoceros albirostris,5.698367,117.40408
Anthracoceros albirostris,5.946333,116.04579
Anthracoceros malayanus,2.05054,113.75618
Anthracoceros albirostris,4.962297,117.80357
Buceros rhinoceros,5.059091,100.723274
Buceros rhinoceros,3.996884,101.81487
Buceros bicornis,6.38274,99.820435
Rhyticeros undulatus,5.0198,117.7462
Anthracoceros albirostris,5.468624,118.187744
Anthracoceros malayanus,3.103216,101.52174
Anthracoceros albirostris,5.493919,118.28363
Anthracoceros albirostris,3.815534,103.34455
Anthracoceros malayanus,5.0198,117.7462
Anthracoceros malayanus,4.678866,102.057495
Buceros rhinoceros,5.0198,117.7462
Anorrhinus galeritus,2.814753,102.1667
